court	abbreviation
Ústavný súd Slovenskej republiky	US SR
Najvyšší súd Slovenskej republiky	NS SR
Špecializovaný trestný súd	SPS
Krajský súd v Banskej Bystrici	KS BB
Krajský súd v Bratislave	KS BA
Krajský súd v Košiciach	KS KE
Krajský súd v Nitre	KS NR
Krajský súd v Prešove	KS PO
Krajský súd v Trenčíne	KS TN
Krajský súd v Trnave	KS TT
Krajský súd v Žiline	KS ZA
Okresný súd Bánovce nad Bebravou	OS BN
Okresný súd Banská Bystrica	OS BB
Okresný súd Bardejov	OS BJ
Mestský súd Bratislava III	OS BA III
Mestský súd Bratislava II	OS BA II
Mestský súd Bratislava I	OS BA I
Mestský súd Bratislava IV	OS BA IV
Mestský súd Bratislava V	OS BA V
Okresný súd Brezno	OS BR
Okresný súd Čadca	OS CA
Okresný súd Dolný Kubín	OS DK
Okresný súd Dunajská Streda	OS DS
Okresný súd Galanta	OS GA
Okresný súd Humenné	OS HE
Okresný súd Kežmarok	OS KK
Okresný súd Komárno	OS KO
Okresný súd Košice II	OS KE II
Mestský Súd Košice	OS KE I
Okresný súd Košice okolie	OS KS
Okresný súd Levice	OS LV
Okresný súd Liptovský Mikuláš	OS LM
Okresný súd Lučenec	OS LC
Okresný súd Malacky	OS MA
Okresný súd Martin	OS MT
Okresný súd Michalovce	OS MI
Okresný súd Námestovo	OS NO
Okresný súd Nitra	OS NR
Okresný súd Nové Mesto nad Váhom	OS NM
Okresný súd Nové Zámky	OS NZ
Okresný súd Partizánske	OS PE
Okresný súd Pezinok	OS PK
Okresný súd Piešťany	OS PN
Okresný súd Poprad	OS PP
Okresný súd Považská Bystrica	OS PB
Okresný súd Prešov	OS PO
Okresný súd Prievidza	OS PD
Okresný súd Revúca	OS RA
Okresný súd Rimavská Sobota	OS RS
Okresný súd Rožňava	OS RV
Okresný súd Ružomberok	OS RK
Okresný súd Senica	OS SE
Okresný súd Skalica	OS SI
Okresný súd Spišská Nová Ves	OS SN
Okresný súd Stará Ľubovňa	OS SL
Okresný súd Svidník	OS SK
Okresný súd Topoľčany	OS TO
Okresný súd Trebišov	OS TV
Okresný súd Trenčín	OS KT
Okresný súd Trnava	OS TT
Okresný súd Veľký Krtíš	OS VK
Okresný súd Vranov nad Topľou	OS VT
Okresný súd Žiar nad Hronom	OS ZH
Okresný súd Žilina	OS ZA
Okresný súd Zvolen	OS ZV
